timestamp,hours_from_start,health_indicator
2023-11-09 00:13:00,12.808333,-0.309236
2023-11-09 00:13:11,12.811389,-0.335079
2023-11-09 00:13:21,12.814167,-0.438453
2023-11-09 00:13:30,12.816667,-0.360923
2023-11-09 00:13:40,12.819444,-0.49014
2023-11-09 00:13:51,12.8225,-0.567671
2023-11-09 00:14:01,12.825278,-0.593515
2023-11-09 00:14:10,12.827778,-0.464297
2023-11-09 00:14:21,12.830833,-0.386766
2023-11-09 00:14:31,12.833611,-0.696889
2023-11-09 00:14:40,12.836111,-0.283392
2023-11-09 00:14:50,12.838889,-0.335079
2023-11-09 00:15:01,12.841944,-0.309236
2023-11-09 00:15:11,12.844722,-0.257549
2023-11-09 00:15:20,12.847222,-0.257549
2023-11-09 00:15:30,12.85,-0.180018
2023-11-09 00:15:41,12.853056,-0.360923
2023-11-09 00:15:50,12.855556,-0.335079
2023-11-09 00:16:00,12.858333,-0.464297
2023-11-09 00:16:11,12.861389,-0.335079
2023-11-09 00:16:21,12.864167,-0.438453
2023-11-09 00:16:30,12.866667,-0.49014
2023-11-09 00:16:40,12.869444,-0.567671
2023-11-09 00:16:51,12.8725,-0.49014
2023-11-09 00:17:00,12.875,-0.41261
2023-11-09 00:17:10,12.877778,-0.593515
2023-11-09 00:17:21,12.880833,-0.49014
2023-11-09 00:17:31,12.883611,-0.515984
2023-11-09 00:17:40,12.886111,-0.438453
2023-11-09 00:17:50,12.888889,-0.283392
2023-11-09 00:18:01,12.891944,-0.619358
2023-11-09 00:18:11,12.894722,-0.567671
2023-11-09 00:18:20,12.897222,-0.231705
2023-11-09 00:18:31,12.900278,-0.386766
2023-11-09 00:18:41,12.903056,-0.49014
2023-11-09 00:18:50,12.905556,-0.567671
2023-11-09 00:19:00,12.908333,-0.567671
2023-11-09 00:19:11,12.911389,-0.438453
2023-11-09 00:19:21,12.914167,-0.438453
2023-11-09 00:19:30,12.916667,-0.257549
2023-11-09 00:19:41,12.919722,-0.515984
2023-11-09 00:19:51,12.9225,-0.335079
2023-11-09 00:20:00,12.925,-0.541827
2023-11-09 00:20:10,12.927778,-0.438453
2023-11-09 00:20:21,12.930833,-0.438453
2023-11-09 00:20:31,12.933611,-0.541827
2023-11-09 00:20:40,12.936111,-0.257549
2023-11-09 00:20:50,12.938889,-0.438453
2023-11-09 00:21:01,12.941944,-0.335079
2023-11-09 00:21:10,12.944444,-0.360923
2023-11-09 00:21:20,12.947222,-0.438453
2023-11-09 00:21:31,12.950278,-0.309236
2023-11-09 00:21:41,12.953056,-0.541827
2023-11-09 00:21:50,12.955556,-0.41261
2023-11-09 00:22:00,12.958333,-0.386766
2023-11-09 00:22:11,12.961389,-0.515984
2023-11-09 00:22:20,12.963889,-0.360923
2023-11-09 00:22:30,12.966667,-0.180018
2023-11-09 00:22:41,12.969722,-0.645202
2023-11-09 00:22:51,12.9725,-0.464297
2023-11-09 00:23:00,12.975,-0.335079
2023-11-09 00:23:10,12.977778,-0.464297
2023-11-09 00:23:21,12.980833,-0.360923
2023-11-09 00:23:30,12.983333,-0.515984
2023-11-09 00:23:40,12.986111,-0.283392
2023-11-09 00:23:51,12.989167,-0.593515
2023-11-09 00:24:01,12.991944,-0.438453
2023-11-09 00:24:10,12.994444,-0.360923
2023-11-09 00:24:20,12.997222,-0.541827
2023-11-09 00:24:31,13.000278,-0.438453
2023-11-09 00:24:41,13.003056,-0.335079
2023-11-09 00:24:50,13.005556,-0.593515
2023-11-09 00:25:01,13.008611,-0.49014
2023-11-09 00:25:11,13.011389,-0.645202
2023-11-09 00:25:20,13.013889,-0.541827
2023-11-09 00:25:30,13.016667,-0.567671
2023-11-09 00:25:41,13.019722,-0.541827
2023-11-09 00:25:51,13.0225,-0.593515
2023-11-09 00:26:00,13.025,-0.386766
2023-11-09 00:26:11,13.028056,-0.335079
2023-11-09 00:26:21,13.030833,-0.49014
2023-11-09 00:26:30,13.033333,-0.722732
2023-11-09 00:26:40,13.036111,-0.515984
2023-11-09 00:26:51,13.039167,-0.619358
2023-11-09 00:27:01,13.041944,-0.515984
2023-11-09 00:27:10,13.044444,-0.567671
2023-11-09 00:27:20,13.047222,-0.619358
2023-11-09 00:27:31,13.050278,-0.541827
2023-11-09 00:27:40,13.052778,-0.541827
2023-11-09 00:27:50,13.055556,-0.41261
2023-11-09 00:28:01,13.058611,-0.619358
2023-11-09 00:28:11,13.061389,-0.464297
2023-11-09 00:28:20,13.063889,-0.593515
2023-11-09 00:28:30,13.066667,-0.49014
2023-11-09 00:28:41,13.069722,-0.645202
2023-11-09 00:28:50,13.072222,-0.438453
2023-11-09 00:29:00,13.075,-0.567671
2023-11-09 00:29:11,13.078056,-0.593515
2023-11-09 00:29:21,13.080833,-0.567671
2023-11-09 00:29:30,13.083333,-0.696889
2023-11-09 00:29:40,13.086111,-0.696889
2023-11-09 00:29:51,13.089167,-0.696889
2023-11-09 00:30:01,13.091944,-0.593515
2023-11-09 00:30:10,13.094444,-0.619358
2023-11-09 00:30:21,13.0975,-0.774419
2023-11-09 00:30:31,13.100278,-0.748576
2023-11-09 00:30:40,13.102778,-0.645202
2023-11-09 00:30:50,13.105556,-0.619358
2023-11-09 00:31:01,13.108611,-0.774419
2023-11-09 00:31:11,13.111389,-0.748576
2023-11-09 00:31:20,13.113889,-0.903637
2023-11-09 00:31:31,13.116944,-1.007011
2023-11-09 00:31:41,13.119722,-0.85195
