dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,indicator,median_shift_vs_rms_kurt_h,sign_pattern
ONGC,hotelling_t2,Hotelling T²,gated_D7,1,1,0,-4.6694,-4.669444444444445,0,1,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,0+/1-/0=
ONGC,isolation_forest,Isolation Forest,gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,rms_kurt,0.0,0+/0-/1=
ONGC,lstm_ae,LSTM-Autoencoder,gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,rms_kurt,0.0,0+/0-/1=
ONGC,one_class_svm,One-Class SVM (nu=0.05),gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,rms_kurt,0.0,0+/0-/1=
ONGC,rms_trend,RMS-Trend (kσ),gated_D7,1,1,0,+0.0007,0.0007222222222225128,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,tcn,TCN-Autoencoder,gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,rms_kurt,0.0,0+/0-/1=
ONGC,three_sigma,3σ Rule (σ=3.0),gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,rms_kurt,0.0,0+/0-/1=
ONGC,transformer_ad,Transformer-AD,gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,rms_kurt,0.0,0+/0-/1=
XJTU-SY,cusum,"CUSUM (k=0.5, h=5.0)",gated_D7,10,7,3,"+0.0000, +0.0000, +0.0000, +0.0000, -0.1167, +0.0000, +0.0000",0.0,0,1,6,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,0+/1-/6=
XJTU-SY,deep_svdd,Deep SVDD,gated_D7,10,7,3,"+0.0000, +0.0000, -0.2125, +0.0000, +0.0000, -0.0067, +0.0000",0.0,0,2,5,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,0+/2-/5=
XJTU-SY,ewma,"EWMA (λ=0.2, k=3.0)",gated_D7,10,7,3,"+0.0000, +0.0000, +0.0000, +0.0000, -0.1167, -0.6933, +0.0000",0.0,0,2,5,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,0+/2-/5=
XJTU-SY,hotelling_t2,Hotelling T²,gated_D7,10,7,3,"+0.0000, +0.0000, +0.0000, +0.0000, -0.2733, +0.0000, +0.0000",0.0,0,1,6,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,0+/1-/6=
XJTU-SY,isolation_forest,Isolation Forest,gated_D7,10,7,3,"+0.0000, -0.9500, +0.0458, +0.0000, -0.1167, +0.0133, +0.0000",0.0,2,2,3,4,0.125,1.0,False,1.0,False,44.0,rms_kurt,0.0,2+/2-/3=
XJTU-SY,lstm_ae,LSTM-Autoencoder,gated_D7,3,2,1,"-0.2500, +0.0000",-0.125,0,1,1,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,0+/1-/1=
XJTU-SY,one_class_svm,One-Class SVM (nu=0.05),gated_D7,10,7,3,"+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000",0.0,0,0,7,0,1.0,1.0,False,1.0,False,44.0,rms_kurt,0.0,0+/0-/7=
XJTU-SY,rms_trend,RMS-Trend (kσ),gated_D7,10,7,3,"+0.0000, +0.0000, -0.1250, +0.0000, +0.0000, +0.0333, +0.0000",0.0,1,1,5,2,0.5,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/1-/5=
XJTU-SY,tcn,TCN-Autoencoder,gated_D7,3,2,1,"+0.0000, +0.0000",0.0,0,0,2,0,1.0,1.0,False,1.0,False,44.0,rms_kurt,0.0,0+/0-/2=
XJTU-SY,three_sigma,3σ Rule (σ=3.0),gated_D7,10,7,3,"+0.0000, +0.0000, +0.0000, +0.0000, -0.1167, +0.0000, +0.0000",0.0,0,1,6,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,0+/1-/6=
XJTU-SY,transformer_ad,Transformer-AD,gated_D7,3,2,1,"+0.0000, +0.0000",0.0,0,0,2,0,1.0,1.0,False,1.0,False,44.0,rms_kurt,0.0,0+/0-/2=
