dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,ims_schema,validity_convention
IMS,isolation_forest,Isolation Forest,gated_D7,3,3,0,"+0.0000, +22.4111, +3.4333",3.4333333333333336,2,0,1,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
IMS,lstm_ae,LSTM-Autoencoder,gated_D7,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
IMS,one_class_svm,One-Class SVM (nu=0.05),gated_D7,3,3,0,"+0.0000, +0.0000, -0.8333",0.0,0,1,2,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
IMS,rms_trend,RMS-Trend (kσ),gated_D7,3,3,0,"+0.0000, +0.0000, +2.3667",0.0,1,0,2,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
IMS,tcn,TCN-Autoencoder,gated_D7,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
IMS,three_sigma,3σ Rule (σ=3.0),gated_D7,3,3,0,"+0.0000, +18.3222, -1.0000",0.0,1,1,1,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
IMS,transformer_ad,Transformer-AD,gated_D7,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,cusum,"CUSUM (k=0.5, h=5.0)",gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,deep_svdd,Deep SVDD,gated_D7,1,1,0,+0.0122,0.0122222222222222,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,ewma,"EWMA (λ=0.2, k=3.0)",gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,hotelling_t2,Hotelling T²,gated_D7,1,1,0,+6.9789,6.978888888888889,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,isolation_forest,Isolation Forest,gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,lstm_ae,LSTM-Autoencoder,gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,one_class_svm,One-Class SVM (nu=0.05),gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,rms_trend,RMS-Trend (kσ),gated_D7,1,1,0,+4.5746,4.574611111111114,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,tcn,TCN-Autoencoder,gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,three_sigma,3σ Rule (σ=3.0),gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
ONGC,transformer_ad,Transformer-AD,gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
XJTU-SY,cusum,"CUSUM (k=0.5, h=5.0)",gated_D7,10,7,3,"+0.0000, +0.0000, +0.0000, +0.0000, -0.1167, +0.0000, +0.0000",0.0,0,1,6,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
XJTU-SY,deep_svdd,Deep SVDD,gated_D7,10,7,3,"+0.0000, +0.0000, -0.2125, +0.0000, +0.0000, -0.0067, +0.0000",0.0,0,2,5,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
XJTU-SY,ewma,"EWMA (λ=0.2, k=3.0)",gated_D7,10,7,3,"+0.0000, +0.0000, +0.0000, +0.0000, -0.1167, -0.6933, +0.0000",0.0,0,2,5,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
