table,dataset,short_name,field,published,dp,arm,computed,match
tab:holm,Ferrara,transformer_ad,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:holm,Ferrara,transformer_ad,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,rms_trend,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,rms_trend,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:imssweep,IMS,three_sigma,run_diff_1,27.1,1,B: IMS invariant (D-2) vs printed legacy - differences expected,25.8131,False
tab:imssweep,IMS,three_sigma,run_diff_2,18.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,15.1,False
tab:imssweep,IMS,three_sigma,run_diff_3,15.6,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-1.0,False
tab:imssweep,IMS,three_sigma,median_diff_h,18.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,15.099999999999994,False
tab:imssweep,IMS,three_sigma,sign_test_p,0.25,2,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:imssweep,IMS,isolation_forest,run_diff_1,19.9,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-0.6667,False
tab:imssweep,IMS,isolation_forest,run_diff_2,12.2,1,B: IMS invariant (D-2) vs printed legacy - differences expected,16.8667,False
tab:imssweep,IMS,isolation_forest,run_diff_3,1.8,1,B: IMS invariant (D-2) vs printed legacy - differences expected,3.4333,False
tab:imssweep,IMS,isolation_forest,median_diff_h,12.2,1,B: IMS invariant (D-2) vs printed legacy - differences expected,3.4333333333333336,False
tab:imssweep,IMS,isolation_forest,sign_test_p,0.25,2,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:imssweep,IMS,ewma,run_diff_1,22.6,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-3.8867,False
tab:imssweep,IMS,ewma,run_diff_2,5.0,1,B: IMS invariant (D-2) vs printed legacy - differences expected,4.3333,False
tab:imssweep,IMS,ewma,run_diff_3,5.8,1,B: IMS invariant (D-2) vs printed legacy - differences expected,2.1,False
tab:imssweep,IMS,ewma,median_diff_h,5.8,1,B: IMS invariant (D-2) vs printed legacy - differences expected,2.1000000000000014,False
tab:imssweep,IMS,ewma,sign_test_p,0.25,2,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:imssweep,IMS,cusum,run_diff_1,22.6,1,B: IMS invariant (D-2) vs printed legacy - differences expected,4.1533,False
tab:imssweep,IMS,cusum,run_diff_2,5.0,1,B: IMS invariant (D-2) vs printed legacy - differences expected,4.6667,False
tab:imssweep,IMS,cusum,run_diff_3,5.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,4.2667,False
tab:imssweep,IMS,cusum,median_diff_h,5.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,4.266666666666669,False
tab:imssweep,IMS,cusum,sign_test_p,0.25,2,B: IMS invariant (D-2) vs printed legacy - differences expected,0.25,True
tab:imssweep,IMS,hotelling_t2,run_diff_1,3.3,1,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:imssweep,IMS,hotelling_t2,run_diff_2,12.3,1,B: IMS invariant (D-2) vs printed legacy - differences expected,1.1667,False
